AB,Defect,Type,Plot,Label,gap,VBM,Toten_pure,Toten_p2,Toten_p1,Toten_neut,Toten_m1,Toten_m2,Corr_p2,Corr_p1,Corr_neut,Corr_m1,Corr_m2,mu_Cd_rich,mu_Te_rich
CdSe0.25Te0.75,N_i,Extrinsic,Y,N$_{i}$,0.51,1.90,-609.99,-618.45,-616.51,-612.84,-610.46,-608.03,0.21,0.04,0.00,0.10,0.27,,8.54
CdSe0.25Te0.75,N_i+N_i,Extrinsic,Y,N$_{i}$ + N$_{i}$,0.51,1.90,-609.99,-621.97,-620.31,-616.67,-614.28,-611.83,0.55,0.16,0.00,-0.02,0.16,,17.08
CdSe0.25Te0.75,N_i+Se_i,Extrinsic,Y,N$_{i}$ + Se$_{i}$,0.51,1.90,-609.99,-619.43,-616.50,-614.27,-611.85,-609.38,0.19,-0.01,0.00,0.14,0.43,,12.39
CdSe0.25Te0.75,N_i+Te_i,Extrinsic,Y,N$_{i}$ + Te$_{i}$,0.51,1.90,-609.99,-619.06,-617.11,-613.26,-610.77,-608.24,0.31,0.09,0.00,0.10,0.26,,12.07
CdSe0.25Te0.75,N_Se,Extrinsic,Y,N$_{Se}$,0.51,1.90,-609.99,-614.41,-612.54,-610.65,-608.72,-606.40,0.19,0.04,0.00,0.12,0.31,,4.68
CdSe0.25Te0.75,N_Se+Cl_i,Extrinsic,Y,N$_{Se}$ + Cl$_{i}$,0.51,1.90,-609.99,-616.92,-615.02,-613.20,-610.39,-607.83,0.25,0.01,0.00,0.09,0.29,,7.88
CdSe0.25Te0.75,N_Se+Cl_Se,Extrinsic,Y,N$_{Se}$ + Cl$_{Se}$,0.51,1.90,-609.99,-613.26,-611.37,-609.45,-607.14,-604.79,0.24,0.02,0.00,0.11,0.28,,4.03
CdSe0.25Te0.75,N_Se+N_i,Extrinsic,Y,N$_{Se}$ + N$_{i}$,0.51,1.90,-609.99,-620.40,-618.03,-614.42,-612.48,-610.14,0.14,0.01,0.00,0.12,0.36,,13.22
CdSe0.25Te0.75,N_Se+O_i,Extrinsic,Y,N$_{Se}$ + O$_{i}$,0.51,1.90,-609.99,-619.95,-618.07,-616.12,-614.14,-611.80,0.43,0.12,0.00,0.00,0.23,,11.49
CdSe0.25Te0.75,N_Se+O_Se,Extrinsic,Y,N$_{Se}$ + O$_{Se}$,0.51,1.90,-609.99,-615.75,-613.90,-612.03,-610.13,-607.92,0.35,0.13,0.00,0.01,0.20,,7.63
CdSe0.25Te0.75,N_Te+Cl_i,Extrinsic,Y,N$_{Te}$ + Cl$_{i}$,0.51,1.90,-609.99,-617.15,-615.07,-613.15,-610.72,-608.44,0.39,0.10,0.00,0.10,0.28,,8.21
CdSe0.25Te0.75,N_Te+Cl_Te,Extrinsic,Y,N$_{Te}$ + Cl$_{Te}$,0.51,1.90,-609.99,-614.49,-612.66,-610.79,-608.56,-606.27,0.35,0.06,0.00,0.07,0.28,,4.68
CdSe0.25Te0.75,N_Te+N_i,Extrinsic,Y,N$_{Te}$ + N$_{i}$,0.51,1.90,-609.99,-619.93,-618.31,-614.78,-612.87,-610.58,0.21,0.04,0.00,0.10,0.27,,13.55
CdSe0.25Te0.75,N_Te+O_i,Extrinsic,Y,N$_{Te}$ + O$_{i}$,0.51,1.90,-609.99,-620.22,-618.37,-616.50,-613.17,-612.31,0.55,0.16,0.00,-0.02,0.16,,11.81
CdSe0.25Te0.75,N_Te+O_Te,Extrinsic,Y,N$_{Te}$ + O$_{Te}$,0.51,1.90,-609.99,-616.64,-614.85,-613.03,-611.18,-609.04,0.19,-0.01,0.00,0.14,0.43,,8.29
CdSe0.25Te0.75,O_i+As_i+O_i,Extrinsic,Y,O$_{i}$ + As$_{i}$ + O$_{i}$,0.51,1.90,-609.99,-626.14,-625.40,0.00,0.00,-618.85,0.31,0.09,0.00,0.10,0.26,,18.97
CdSe0.25Te0.75,O_i+As_Se+O_i,Extrinsic,Y,O$_{i}$ + As$_{Se}$ + O$_{i}$,0.51,1.90,-609.99,-623.09,-621.18,-619.25,-617.26,-615.12,0.19,0.04,0.00,0.12,0.31,,15.12
CdSe0.25Te0.75,O_i+As_Te+O_i,Extrinsic,Y,O$_{i}$ + As$_{Te}$ + O$_{i}$,0.51,1.90,-609.99,-622.38,-620.50,-618.64,-616.72,-614.77,0.25,0.01,0.00,0.09,0.29,,16.92
CdSe0.25Te0.75,O_i+Bi_i+O_i,Extrinsic,Y,O$_{i}$ + Bi$_{i}$ + O$_{i}$,0.51,1.90,-609.99,-627.94,-625.74,-622.63,-620.56,-617.39,0.24,0.02,0.00,0.11,0.28,,17.92
CdSe0.25Te0.75,O_i+Bi_Se+O_i,Extrinsic,Y,O$_{i}$ + Bi$_{Se}$ + O$_{i}$,0.51,1.90,-609.99,-623.00,-621.02,-618.61,-616.41,-613.97,0.14,0.01,0.00,0.12,0.36,,14.37
CdSe0.25Te0.75,O_i+Bi_Te+O_i,Extrinsic,Y,O$_{i}$ + Bi$_{Te}$ + O$_{i}$,0.51,1.90,-609.99,-621.68,-619.75,-617.48,0.00,-613.45,0.43,0.12,0.00,0.00,0.23,,13.39
CdSe0.25Te0.75,O_i+N_i+O_i,Extrinsic,Y,O$_{i}$ + N$_{i}$ + O$_{i}$,0.51,1.90,-609.99,-629.90,-623.86,-622.36,-621.46,-618.94,0.35,0.13,0.00,0.01,0.20,,22.15
CdSe0.25Te0.75,O_i+N_Se+O_i,Extrinsic,Y,O$_{i}$ + N$_{Se}$ + O$_{i}$,0.51,1.90,-609.99,0.00,0.00,-619.96,-618.07,-616.25,0.39,0.10,0.00,0.10,0.28,,18.29
CdSe0.25Te0.75,O_i+N_Te+O_i,Extrinsic,Y,O$_{i}$ + N$_{Te}$ + O$_{i}$,0.51,1.90,-609.99,-624.14,-622.30,-620.48,0.00,-616.68,0.35,0.06,0.00,0.07,0.28,,18.42
CdSe0.25Te0.75,O_i+P_i+O_i,Extrinsic,Y,O$_{i}$ + P$_{i}$ + O$_{i}$,0.51,1.90,-609.99,-626.47,-624.13,-623.13,-620.70,-618.12,0.29,0.05,0.00,0.07,0.28,,19.46
CdSe0.25Te0.75,O_i+P_Se+O_i,Extrinsic,Y,O$_{i}$ + P$_{Se}$ + O$_{i}$,0.51,1.90,-609.99,-624.17,-622.26,-620.32,-618.34,-616.17,0.24,0.04,0.00,0.10,0.29,,17.46
CdSe0.25Te0.75,O_i+P_Te+O_i,Extrinsic,Y,O$_{i}$ + P$_{Te}$ + O$_{i}$,0.51,1.90,-609.99,-623.02,-621.15,-619.26,-618.09,-615.43,0.19,0.05,0.00,0.12,0.36,,16.89
CdSe0.25Te0.75,O_i+Sb_i+O_i,Extrinsic,Y,O$_{i}$ + Sb$_{i}$ + O$_{i}$,0.51,1.90,-609.99,-626.06,-623.96,-622.59,-619.83,-617.08,0.55,0.15,0.00,0.11,0.25,,18.17
CdSe0.25Te0.75,O_i+Sb_Se+O_i,Extrinsic,Y,O$_{i}$ + Sb$_{Se}$ + O$_{i}$,0.51,1.90,-609.99,0.00,0.00,-619.20,0.00,-614.40,0.51,0.14,0.00,0.02,0.16,,17.32
CdSe0.25Te0.75,O_i+Sb_Te+O_i,Extrinsic,Y,O$_{i}$ + Sb$_{Te}$ + O$_{i}$,0.51,1.90,-609.99,-621.80,-619.88,-617.95,-615.98,-614.01,0.35,0.03,0.00,0.13,0.34,,16.89
CdSe0.25Te0.75,P_i,Extrinsic,Y,P$_{i}$,0.51,1.90,-609.99,-616.99,-614.95,-612.53,-610.24,-606.56,0.39,-0.01,0.00,0.10,0.30,,5.85
CdSe0.25Te0.75,P_i+P_i,Extrinsic,Y,P$_{i}$ + P$_{i}$,0.51,1.90,-609.99,-620.37,-618.38,-616.06,-614.07,-608.83,0.33,0.04,0.00,0.10,0.26,,11.70
CdSe0.25Te0.75,P_i+Se_i,Extrinsic,Y,P$_{i}$ + Se$_{i}$,0.51,1.90,-609.99,-619.84,-616.38,-613.93,-611.43,-610.53,0.39,0.01,0.00,0.12,0.31,,9.71
CdSe0.25Te0.75,P_i+Te_i,Extrinsic,Y,P$_{i}$ + Te$_{i}$,0.51,1.90,-609.99,-617.86,-615.39,-613.08,-612.07,-606.82,0.33,-0.01,0.00,0.12,0.36,,9.38
CdSe0.25Te0.75,P_Se,Extrinsic,Y,P$_{Se}$,0.51,1.90,-609.99,-613.24,-611.33,-609.40,-607.43,-605.06,0.34,0.10,0.00,0.06,0.26,,2.00
CdSe0.25Te0.75,P_Se+Cl_i,Extrinsic,Y,P$_{Se}$ + Cl$_{i}$,0.51,1.90,-609.99,-616.02,-614.09,-612.12,-609.02,-606.11,0.14,0.01,0.00,0.12,0.37,,5.20
CdSe0.25Te0.75,P_Se+Cl_Se,Extrinsic,Y,P$_{Se}$ + Cl$_{Se}$,0.51,1.90,-609.99,-612.06,-610.14,-608.18,-605.81,-603.39,0.44,0.12,0.00,0.00,0.24,,1.34
CdSe0.25Te0.75,P_Se+O_i,Extrinsic,Y,P$_{Se}$ + O$_{i}$,0.51,1.90,-609.99,-620.19,-618.25,-616.25,-613.94,-611.54,0.36,0.13,0.00,0.01,0.21,,8.80
CdSe0.25Te0.75,P_Se+O_Se,Extrinsic,Y,P$_{Se}$ + O$_{Se}$,0.51,1.90,-609.99,-614.59,-612.71,-610.80,-608.86,-606.59,0.39,0.10,0.00,0.10,0.29,,4.95
CdSe0.25Te0.75,P_Se+P_i,Extrinsic,Y,P$_{Se}$ + P$_{i}$,0.51,1.90,-609.99,-618.46,-616.18,-613.89,-611.45,-608.80,0.35,0.06,0.00,0.07,0.29,,7.85
CdSe0.25Te0.75,P_Te+Cl_i,Extrinsic,Y,P$_{Te}$ + Cl$_{i}$,0.51,1.90,-609.99,-615.79,-613.87,-611.92,-609.07,-607.09,0.29,0.05,0.00,0.07,0.29,,5.52
CdSe0.25Te0.75,P_Te+Cl_Te,Extrinsic,Y,P$_{Te}$ + Cl$_{Te}$,0.51,1.90,-609.99,-613.34,-611.48,-609.59,-607.29,-604.93,0.25,0.04,0.00,0.10,0.29,,1.99
CdSe0.25Te0.75,P_Te+O_i,Extrinsic,Y,P$_{Te}$ + O$_{i}$,0.51,1.90,-609.99,-619.05,-617.17,-615.27,-613.43,-611.08,0.19,0.05,0.00,0.12,0.37,,9.13
CdSe0.25Te0.75,P_Te+O_Te,Extrinsic,Y,P$_{Te}$ + O$_{Te}$,0.51,1.90,-609.99,-615.67,-613.85,-612.01,-610.13,-607.91,0.56,0.15,0.00,0.11,0.25,,5.60
CdSe0.25Te0.75,P_Te+P_i,Extrinsic,Y,P$_{Te}$ + P$_{i}$,0.51,1.90,-609.99,-618.15,-615.83,-613.70,-611.30,-609.04,0.52,0.15,0.00,0.02,0.16,,8.18
CdSe0.25Te0.75,Sb_i,Extrinsic,Y,Sb$_{i}$,0.51,1.90,-609.99,-616.16,-613.69,-611.21,-608.82,-605.35,0.36,0.03,0.00,0.13,0.35,,4.56
CdSe0.25Te0.75,Sb_i+Sb_i,Extrinsic,Y,Sb$_{i}$ + Sb$_{i}$,0.51,1.90,-609.99,-618.81,-615.99,-613.64,-611.15,-608.33,0.39,-0.01,0.00,0.10,0.30,,9.13
CdSe0.25Te0.75,Sb_i+Se_i,Extrinsic,Y,Sb$_{i}$ + Se$_{i}$,0.51,1.90,-609.99,-617.64,-616.37,-613.87,-611.34,-607.52,0.34,0.04,0.00,0.10,0.27,,8.42
CdSe0.25Te0.75,Sb_i+Te_i,Extrinsic,Y,Sb$_{i}$ + Te$_{i}$,0.51,1.90,-609.99,-616.58,-614.10,-613.03,-610.48,-608.12,0.39,0.01,0.00,0.12,0.31,,8.09
CdSe0.25Te0.75,Sb_Se,Extrinsic,Y,Sb$_{Se}$,0.51,1.90,-609.99,-611.99,-610.03,-608.03,-605.96,-603.55,0.34,-0.01,0.00,0.12,0.37,,0.71
CdSe0.25Te0.75,Sb_Se+Cl_i,Extrinsic,Y,Sb$_{Se}$ + Cl$_{i}$,0.51,1.90,-609.99,-614.86,-612.88,-610.86,-608.43,-605.94,0.34,0.10,0.00,0.06,0.27,,3.91
CdSe0.25Te0.75,Sb_Se+Cl_Se,Extrinsic,Y,Sb$_{Se}$ + Cl$_{Se}$,0.51,1.90,-609.99,-610.78,-608.79,-606.73,-604.33,-601.89,0.40,0.12,0.00,0.04,0.22,,0.05
CdSe0.25Te0.75,Sb_Se+O_i,Extrinsic,Y,Sb$_{Se}$ + O$_{i}$,0.51,1.90,-609.99,-618.84,0.00,-614.34,-611.80,-609.36,0.19,0.04,0.00,0.11,0.33,,7.51
CdSe0.25Te0.75,Sb_Se+O_Se,Extrinsic,Y,Sb$_{Se}$ + O$_{Se}$,0.51,1.90,-609.99,-613.36,-611.42,-609.44,-607.40,-605.10,0.25,0.01,0.00,0.09,0.29,,3.66
CdSe0.25Te0.75,Sb_Se+Sb_i,Extrinsic,Y,Sb$_{Se}$ + Sb$_{i}$,0.51,1.90,-609.99,-616.42,-613.96,-611.44,-608.69,-605.97,0.19,0.02,0.00,0.11,0.29,,5.27
CdSe0.25Te0.75,Sb_Te+Cl_i,Extrinsic,Y,Sb$_{Te}$ + Cl$_{i}$,0.51,1.90,-609.99,-615.36,-613.43,-611.46,-609.04,-605.59,0.14,0.01,0.00,0.12,0.33,,4.89
CdSe0.25Te0.75,Sb_Te+Cl_Te,Extrinsic,Y,Sb$_{Te}$ + Cl$_{Te}$,0.51,1.90,-609.99,-612.07,-610.16,-608.21,-605.88,-603.50,0.25,0.07,0.00,0.09,0.27,,1.37
CdSe0.25Te0.75,Sb_Te+O_i,Extrinsic,Y,Sb$_{Te}$ + O$_{i}$,0.51,1.90,-609.99,-617.89,-615.95,-613.93,0.00,-609.59,0.37,0.12,0.00,0.06,0.23,,8.64
CdSe0.25Te0.75,Sb_Te+O_Te,Extrinsic,Y,Sb$_{Te}$ + O$_{Te}$,0.51,1.90,-609.99,-614.57,-612.71,-610.80,-608.82,-606.57,0.43,0.13,0.00,0.04,0.21,,5.11
CdSe0.25Te0.75,Sb_Te+Sb_i,Extrinsic,Y,Sb$_{Te}$ + Sb$_{i}$,0.51,1.90,-609.99,-616.06,-613.63,-611.15,-608.80,-606.18,0.19,0.06,0.00,0.10,0.26,,5.60
